ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,TypeShown,Reward,LikelihoodShown
362,1.5207840054544912,13.714309260955229,3.9363273705359725,1.40289020659383,72.91453986236567,0.6758678778693054,8.507204461195895,0.22438867068556315,0.17953023585198435,A,0,0.16798196166854565
316,1.5154224307181616,13.532183554136278,3.4183917433277866,1.40497519463975,73.04803218989873,0.34201222505417783,9.698604923193834,0.04918784011246972,0.15464025381974586,D,0,0.1273957158962796
474,1.5188252906673834,13.08164186959097,2.5634705952484493,1.243806073177161,72.71032155379537,0.47952159663020694,7.985073288620559,0.3148927780906586,0.1390573943526458,D,0,0.1273957158962796
678,0.6387736855731369,14.627662602424289,0.0,2.04359229469494,74.51951996263044,0.0,8.375051863949787,1.7317115737877933,2.0829889248921836,G,0,0.1386696730552424
273,1.5200048002532502,13.475908921301722,3.5037626356074423,1.3583659488569735,72.38772020572603,0.3080174102862393,9.34195284459652,0.03761130921926529,0.03698758430591803,G,0,0.1386696730552424
788,1.5173092805917154,14.502846793560265,0.07763092276468887,1.7292642745196434,72.42011795481471,0.6433752746903537,7.610086931849112,0.9696201841141885,0.01342980665641146,E,0,0.13641488162344984
585,1.5173464233679668,13.051771153289534,3.4016975541822077,1.4356926351805839,72.09415716183507,0.2782119249759669,9.004904201413485,0.03117190126856632,0.14959618666427102,F,0,0.13416009019165728
205,1.5203302696137688,13.00203453175053,3.4031564148272624,0.963867437580296,73.04719747595809,0.5142964204706635,8.353849742159746,0.011431318901400636,0.05945643105276299,C,0,0.13077790304396844
23,1.5181436054888038,13.150724923109657,3.618185833002988,1.0249045870549782,72.63277360278254,0.4739552375291638,9.078263515170505,0.0780351516217939,0.10762458145528213,F,0,0.13416009019165728
300,1.5196143009819165,12.830521097704578,3.4268096626249687,1.7070002433292075,72.33824023181097,0.3307775951262788,8.102468440126263,0.15555773395657543,0.16084798503391953,C,0,0.13077790304396844
486,1.5185112794303204,13.74497078323847,3.6402080405018116,1.392969731753901,72.74982555561726,0.6220064256583369,10.721825310218238,0.20913342736389112,0.08015927565721885,G,0,0.1386696730552424
628,1.5196098970591558,13.432101555346671,3.65257198707173,1.2305972611205822,72.31661563713428,0.22004269365487897,8.652812884063495,0.0402448227363626,0.1609508688064968,G,0,0.1386696730552424
38,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,A,1,0.16798196166854565
576,1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,C,1,0.13077790304396844
663,0.61,15.0,0.0,2.1,74.62,0.0,8.29,1.72,2.14,D,1,0.1273957158962796
417,1.53125,10.73,0.0,2.1,69.81,0.58,13.3,3.15,0.28,B,1,0.16459977452085683
102,1.5180800415650066,13.129309640039919,3.6428432719940647,1.1548707810253112,72.0970798048112,0.30640519848539993,9.291731132092671,0.09197590788274769,0.08390498987929036,D,0,0.1273957158962796
441,1.520295219667546,12.968616714726952,2.129044021344173,1.617100783675152,72.13646626610354,0.49115957479045347,8.74725961631387,0.07770344156024835,0.17034391773274005,D,0,0.1273957158962796
782,1.5165557214493735,14.595146391774104,1.6472290601880784,2.4882191535185045,73.33517478214453,0.38636928718739494,9.142602709092026,1.5616080845518936,0.031107709302392497,E,0,0.13641488162344984
579,1.5177865927190966,13.051455171428712,3.6241448735077846,0.8895499569842494,71.95401889624111,0.25969588435034846,9.085375919878178,0.03982066392825616,0.09891767175925137,F,0,0.13416009019165728
73,1.5167957862825978,13.626751765844192,3.6748977740945126,1.332569081323809,72.7568287031065,0.5791171791496101,9.361756616677772,0.02106554547027598,0.006244221257770444,E,0,0.13641488162344984
583,1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,C,1,0.13077790304396844
626,1.5174817692515346,13.367523584573917,3.5412149882279613,1.2852576664983557,72.8154890265855,0.3878950174443283,9.010261122046906,0.006420253744642349,0.13106810945796282,G,0,0.1386696730552424
670,0.6261249006062872,14.612223666801125,0.0,1.9901398385148836,73.92887819071385,0.0,8.374900202987288,1.6994126826414468,2.018627100824208,B,1,0.16459977452085683
598,1.5172352503899142,13.80388540165549,3.6703525001742334,0.8773694294963332,72.78863057222138,0.292563910798631,8.698517105621702,0.01659440380523378,0.12698766492553648,E,0,0.13641488162344984
813,1.51556,13.87,0.0,2.54,73.23,0.14,9.41,0.81,0.01,G,1,0.1386696730552424
189,1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,A,1,0.16798196166854565
600,1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,C,1,0.13077790304396844
693,1.520952419158266,13.039280785313256,1.0616934449998765,2.4171554914041407,72.5872094136449,1.4653995290811923,8.95144247439886,0.7246882749682113,0.11912936630874678,C,0,0.13077790304396844
809,1.5179813259814354,13.804407791351679,1.4341812920776802,2.1018045271165153,73.36515155222699,0.912384439636189,8.206463511068891,0.5468263302028169,0.015327868472536739,F,0,0.13416009019165728
860,1.5156938389988093,13.950017367696088,0.005044590684541474,1.8999126112642604,72.2813968152201,0.40122678055217087,7.964587801102133,1.0672537151218542,0.030830753160935715,B,0,0.16459977452085683
295,1.5159,13.02,3.58,1.51,73.12,0.69,7.96,0.0,0.0,B,1,0.16459977452085683
376,1.5175899498188985,12.453159476032862,2.710577528354035,1.171908293934239,72.62196572527628,0.40344606573175257,10.777642573633887,0.3123507264084942,0.06234934634628776,D,0,0.1273957158962796
